Bandit,Reward,Algorithm
0,1,epsilon_greedy
1,1,epsilon_greedy
2,2,epsilon_greedy
3,2,epsilon_greedy
4,2,epsilon_greedy
5,2,epsilon_greedy
6,2,epsilon_greedy
7,2,epsilon_greedy
8,2,epsilon_greedy
9,2,epsilon_greedy
10,2,epsilon_greedy
11,2,epsilon_greedy
12,2,epsilon_greedy
13,2,epsilon_greedy
14,2,epsilon_greedy
15,2,epsilon_greedy
16,2,epsilon_greedy
17,2,epsilon_greedy
18,2,epsilon_greedy
19,2,epsilon_greedy
20,2,epsilon_greedy
21,2,epsilon_greedy
22,2,epsilon_greedy
23,2,epsilon_greedy
24,2,epsilon_greedy
25,2,epsilon_greedy
26,2,epsilon_greedy
27,2,epsilon_greedy
28,2,epsilon_greedy
29,2,epsilon_greedy
30,2,epsilon_greedy
31,2,epsilon_greedy
32,2,epsilon_greedy
33,2,epsilon_greedy
34,2,epsilon_greedy
35,2,epsilon_greedy
36,2,epsilon_greedy
37,2,epsilon_greedy
38,2,epsilon_greedy
39,2,epsilon_greedy
40,2,epsilon_greedy
41,2,epsilon_greedy
42,2,epsilon_greedy
43,2,epsilon_greedy
44,2,epsilon_greedy
45,2,epsilon_greedy
46,2,epsilon_greedy
47,2,epsilon_greedy
48,2,epsilon_greedy
49,2,epsilon_greedy
50,2,epsilon_greedy
51,2,epsilon_greedy
52,2,epsilon_greedy
53,2,epsilon_greedy
54,2,epsilon_greedy
55,2,epsilon_greedy
56,2,epsilon_greedy
57,2,epsilon_greedy
58,2,epsilon_greedy
59,2,epsilon_greedy
60,2,epsilon_greedy
61,2,epsilon_greedy
62,2,epsilon_greedy
63,2,epsilon_greedy
64,2,epsilon_greedy
65,2,epsilon_greedy
66,2,epsilon_greedy
67,2,epsilon_greedy
68,2,epsilon_greedy
69,2,epsilon_greedy
70,2,epsilon_greedy
71,2,epsilon_greedy
72,2,epsilon_greedy
73,2,epsilon_greedy
74,2,epsilon_greedy
75,2,epsilon_greedy
76,2,epsilon_greedy
77,2,epsilon_greedy
78,2,epsilon_greedy
79,2,epsilon_greedy
80,2,epsilon_greedy
81,2,epsilon_greedy
82,2,epsilon_greedy
83,2,epsilon_greedy
84,2,epsilon_greedy
85,2,epsilon_greedy
86,2,epsilon_greedy
87,2,epsilon_greedy
88,2,epsilon_greedy
89,2,epsilon_greedy
90,2,epsilon_greedy
91,2,epsilon_greedy
92,2,epsilon_greedy
93,2,epsilon_greedy
94,2,epsilon_greedy
95,2,epsilon_greedy
96,2,epsilon_greedy
97,2,epsilon_greedy
98,2,epsilon_greedy
99,2,epsilon_greedy
100,3,epsilon_greedy
101,3,epsilon_greedy
102,3,epsilon_greedy
103,3,epsilon_greedy
104,3,epsilon_greedy
105,3,epsilon_greedy
106,3,epsilon_greedy
107,3,epsilon_greedy
108,3,epsilon_greedy
109,3,epsilon_greedy
110,3,epsilon_greedy
111,3,epsilon_greedy
112,3,epsilon_greedy
113,3,epsilon_greedy
114,3,epsilon_greedy
115,3,epsilon_greedy
116,3,epsilon_greedy
117,3,epsilon_greedy
118,3,epsilon_greedy
119,3,epsilon_greedy
120,3,epsilon_greedy
121,3,epsilon_greedy
122,3,epsilon_greedy
123,3,epsilon_greedy
124,3,epsilon_greedy
125,3,epsilon_greedy
126,3,epsilon_greedy
127,3,epsilon_greedy
128,3,epsilon_greedy
129,3,epsilon_greedy
130,3,epsilon_greedy
131,3,epsilon_greedy
132,3,epsilon_greedy
133,3,epsilon_greedy
134,3,epsilon_greedy
135,3,epsilon_greedy
136,3,epsilon_greedy
