Bandit,Reward,Algorithm
0,2,thompson_sampling
1,2,thompson_sampling
2,2,thompson_sampling
3,4,thompson_sampling
4,1,thompson_sampling
5,3,thompson_sampling
6,1,thompson_sampling
7,1,thompson_sampling
8,1,thompson_sampling
9,3,thompson_sampling
10,1,thompson_sampling
11,1,thompson_sampling
12,1,thompson_sampling
13,1,thompson_sampling
14,1,thompson_sampling
15,4,thompson_sampling
16,4,thompson_sampling
17,1,thompson_sampling
18,1,thompson_sampling
19,1,thompson_sampling
20,1,thompson_sampling
21,1,thompson_sampling
22,1,thompson_sampling
23,1,thompson_sampling
24,1,thompson_sampling
25,1,thompson_sampling
26,3,thompson_sampling
27,1,thompson_sampling
28,1,thompson_sampling
29,1,thompson_sampling
30,1,thompson_sampling
31,1,thompson_sampling
32,2,thompson_sampling
33,1,thompson_sampling
34,1,thompson_sampling
35,1,thompson_sampling
36,4,thompson_sampling
37,1,thompson_sampling
38,1,thompson_sampling
39,2,thompson_sampling
40,1,thompson_sampling
41,1,thompson_sampling
42,1,thompson_sampling
43,1,thompson_sampling
44,1,thompson_sampling
45,1,thompson_sampling
46,1,thompson_sampling
47,1,thompson_sampling
48,1,thompson_sampling
49,1,thompson_sampling
50,2,thompson_sampling
51,2,thompson_sampling
52,1,thompson_sampling
53,1,thompson_sampling
54,1,thompson_sampling
55,1,thompson_sampling
56,1,thompson_sampling
57,1,thompson_sampling
58,1,thompson_sampling
59,1,thompson_sampling
60,1,thompson_sampling
61,1,thompson_sampling
62,1,thompson_sampling
63,1,thompson_sampling
64,1,thompson_sampling
65,1,thompson_sampling
66,1,thompson_sampling
67,1,thompson_sampling
68,1,thompson_sampling
69,1,thompson_sampling
70,1,thompson_sampling
71,1,thompson_sampling
72,1,thompson_sampling
73,1,thompson_sampling
74,1,thompson_sampling
75,1,thompson_sampling
76,1,thompson_sampling
77,1,thompson_sampling
78,1,thompson_sampling
79,1,thompson_sampling
80,1,thompson_sampling
81,1,thompson_sampling
82,1,thompson_sampling
83,1,thompson_sampling
84,1,thompson_sampling
85,1,thompson_sampling
86,1,thompson_sampling
87,1,thompson_sampling
88,1,thompson_sampling
89,1,thompson_sampling
90,1,thompson_sampling
91,1,thompson_sampling
92,1,thompson_sampling
93,1,thompson_sampling
94,1,thompson_sampling
95,1,thompson_sampling
96,1,thompson_sampling
97,1,thompson_sampling
98,1,thompson_sampling
99,1,thompson_sampling
100,1,thompson_sampling
101,1,thompson_sampling
102,1,thompson_sampling
103,1,thompson_sampling
104,1,thompson_sampling
105,1,thompson_sampling
106,1,thompson_sampling
107,1,thompson_sampling
108,1,thompson_sampling
109,2,thompson_sampling
110,1,thompson_sampling
111,1,thompson_sampling
112,1,thompson_sampling
113,1,thompson_sampling
114,1,thompson_sampling
115,1,thompson_sampling
116,1,thompson_sampling
117,1,thompson_sampling
118,1,thompson_sampling
119,1,thompson_sampling
120,1,thompson_sampling
121,1,thompson_sampling
122,1,thompson_sampling
123,1,thompson_sampling
124,1,thompson_sampling
125,1,thompson_sampling
126,1,thompson_sampling
127,1,thompson_sampling
128,1,thompson_sampling
129,1,thompson_sampling
130,1,thompson_sampling
131,1,thompson_sampling
132,1,thompson_sampling
133,1,thompson_sampling
134,1,thompson_sampling
135,1,thompson_sampling
136,1,thompson_sampling
137,1,thompson_sampling
138,2,thompson_sampling
139,1,thompson_sampling
140,1,thompson_sampling
141,1,thompson_sampling
142,1,thompson_sampling
143,1,thompson_sampling
144,1,thompson_sampling
145,1,thompson_sampling
146,1,thompson_sampling
147,1,thompson_sampling
148,1,thompson_sampling
149,2,thompson_sampling
150,1,thompson_sampling
151,1,thompson_sampling
152,1,thompson_sampling
153,1,thompson_sampling
154,1,thompson_sampling
155,1,thompson_sampling
156,1,thompson_sampling
157,1,thompson_sampling
158,1,thompson_sampling
159,1,thompson_sampling
160,1,thompson_sampling
161,1,thompson_sampling
162,1,thompson_sampling
163,1,thompson_sampling
164,1,thompson_sampling
165,1,thompson_sampling
166,1,thompson_sampling
167,1,thompson_sampling
168,1,thompson_sampling
169,1,thompson_sampling
170,1,thompson_sampling
171,1,thompson_sampling
172,1,thompson_sampling
173,1,thompson_sampling
174,1,thompson_sampling
175,1,thompson_sampling
176,1,thompson_sampling
177,1,thompson_sampling
178,1,thompson_sampling
179,1,thompson_sampling
180,1,thompson_sampling
181,1,thompson_sampling
182,1,thompson_sampling
183,1,thompson_sampling
184,1,thompson_sampling
185,1,thompson_sampling
186,1,thompson_sampling
187,1,thompson_sampling
188,1,thompson_sampling
189,1,thompson_sampling
190,1,thompson_sampling
191,1,thompson_sampling
192,1,thompson_sampling
193,1,thompson_sampling
194,1,thompson_sampling
195,1,thompson_sampling
196,1,thompson_sampling
197,1,thompson_sampling
198,1,thompson_sampling
199,1,thompson_sampling
200,1,thompson_sampling
201,1,thompson_sampling
202,1,thompson_sampling
203,2,thompson_sampling
204,1,thompson_sampling
205,1,thompson_sampling
206,1,thompson_sampling
207,1,thompson_sampling
208,1,thompson_sampling
209,1,thompson_sampling
210,1,thompson_sampling
211,1,thompson_sampling
